year,geo_name,geo,child_mortality
2017,"Sanders County","05000US30089",119.4
2015,"Webster County","05000US28155",119.2
2016,"Crawford County","05000US17033",119.1
2016,"Bristol city","05000US51520",119.1
2015,"Marion County","05000US45067",119.1
2016,"Nome Census Area","05000US02180",118.8
2016,"Ralls County","05000US29173",118.5
2015,"Attala County","05000US28007",118.5
2016,"Catahoula Parish","05000US22025",118.5
2017,"Hertford County","05000US37091",118.4
2017,"Stone County","05000US05137",118.2
2017,"Marion County","05000US28091",118.0
2016,"Labette County","05000US20099",117.8
2017,"Rolette County","05000US38079",117.7
2017,"Washita County","05000US40149",117.5
2015,"Neshoba County","05000US28099",117.5
2016,"Montour County","05000US42093",117.4
2015,"Glacier County","05000US30035",117.4
2015,"Ralls County","05000US29173",117.2
2017,"Mason County","05000US17125",117.2
2016,"La Paz County","05000US04012",117.1
2015,"Conecuh County","05000US01035",116.9
2016,"Perry County","05000US28111",116.7
2017,"Brooks County","05000US13027",116.6
2015,"St. Francis County","05000US05123",116.4
2017,"Presque Isle County","05000US26141",116.3
2017,"Neshoba County","05000US28099",116.2
2017,"Bibb County, GA","05000US13021",116.0
2016,"Jackson County","05000US05067",115.9
2017,"Bristol city","05000US51520",115.8
2016,"Beaver County","05000US49001",115.8
2016,"White Pine County","05000US32033",115.8
2017,"Macon County","05000US01087",115.7
2016,"Walthall County","05000US28147",115.6
2017,"Nemaha County","05000US20131",114.9
2016,"Kiowa County","05000US40075",114.8
2016,"Neshoba County","05000US28099",114.8
2016,"Cook County","05000US13075",114.7
2015,"Forrest County","05000US28035",114.7
2015,"Polk County","05000US47139",114.5
2015,"Jenkins County","05000US13165",114.4
2017,"Northampton County","05000US51131",114.2
2015,"McDowell County","05000US54047",113.9
2015,"Claiborne Parish","05000US22027",113.7
2016,"New Madrid County","05000US29143",113.6
2016,"Sumter County","05000US01119",113.4
2015,"Sunflower County","05000US28133",113.4
2015,"Wilkinson County","05000US28157",113.2
2016,"Caddo Parish, LA","05000US22017",113.1
2017,"McDowell County","05000US54047",112.9
2017,"Marlboro County","05000US45069",112.8
2016,"Oregon County","05000US29149",112.7
2017,"Newton County","05000US28101",112.6
2017,"Covington County","05000US28031",112.6
2017,"Marion County","05000US45067",112.4
2015,"Ouachita County","05000US05103",112.0
2015,"Russell County","05000US01113",112.0
2017,"Pickens County","05000US01107",111.9
2017,"Humphreys County","05000US28053",111.8
2015,"Hamilton County","05000US12047",111.8
2016,"Roberts County","05000US46109",111.7
2016,"Lewis County","05000US54041",111.5
2017,"Bullock County","05000US01011",111.4
2017,"Okfuskee County","05000US40107",111.3
2017,"Haskell County","05000US40061",111.3
2015,"Neosho County","05000US20133",111.0
2016,"Conecuh County","05000US01035",111.0
2015,"Bradley County","05000US05011",110.9
2015,"Lewis County","05000US54041",110.9
2016,"Marion County","05000US01093",110.8
2016,"Bibb County","05000US01007",110.6
2015,"Accomack County","05000US51001",110.5
2015,"Lowndes County","05000US01085",110.5
2017,"St. James Parish","05000US22093",110.5
2015,"Richmond city, VA","05000US51760",110.4
2016,"Forrest County","05000US28035",110.4
2016,"Clay County","05000US46027",110.3
2016,"Brooks County","05000US13027",110.3
2015,"Pickens County","05000US01107",110.2
2016,"Red River Parish","05000US22081",110.1
2017,"Iron County","05000US29093",110.0
2015,"Bristol city","05000US51520",109.8
2015,"Copiah County","05000US28029",109.8
2015,"Adams County","05000US39001",109.7
2015,"Tallahatchie County","05000US28135",109.6
2015,"Washington County","05000US01129",109.4
2015,"St. Louis city, MO","05000US29510",109.3
2017,"Dougherty County","05000US13095",109.2
2015,"Gallatin County","05000US21077",109.2
2017,"Richmond city, VA","05000US51760",109.1
2015,"Morris County","05000US48343",109.0
2016,"Calhoun County","05000US28013",108.8
2015,"Baltimore city, MD","05000US24510",108.7
2015,"Adams County","05000US28001",108.7
2015,"Cherokee County","05000US19035",108.5
2017,"Washington Parish","05000US22117",108.5
2016,"Noxubee County","05000US28103",108.4
2015,"Red River Parish","05000US22081",108.4
2015,"Red Willow County","05000US31145",108.3
2017,"Copiah County","05000US28029",108.2
2015,"Norfolk city, VA","05000US51710",108.1
2017,"Jefferson County","05000US13163",108.1
2015,"Bibb County","05000US01007",108.0
2017,"Wabash County","05000US17185",108.0
2017,"Richmond County, GA","05000US13245",108.0
2016,"Copiah County","05000US28029",107.9
2017,"McCreary County","05000US21147",107.9
2016,"Greene County","05000US28041",107.7
2016,"Coahoma County","05000US28027",107.6
2015,"Danville city","05000US51590",107.1
2017,"Pratt County","05000US20151",107.1
2016,"Norfolk city, VA","05000US51710",106.9
2015,"Williamsburg County","05000US45089",106.9
2015,"Bolivar County","05000US28011",106.9
2015,"Hughes County","05000US40063",106.8
2016,"Pike County","05000US28113",106.8
2016,"North Slope Borough","05000US02185",106.7
2015,"Oktibbeha County","05000US28105",106.7
2015,"Casey County","05000US21045",106.6
2016,"Bienville Parish","05000US22013",106.6
2017,"Howard County","05000US05061",106.6
2017,"Winston County","05000US28159",106.6
2016,"Fulton County","05000US42057",106.4
2015,"Richmond County, GA","05000US13245",106.3
2017,"Sabine Parish","05000US22085",106.3
2017,"Coahoma County","05000US28027",106.3
2017,"Piscataquis County","05000US23021",106.3
2015,"Perry County","05000US05105",106.2
2016,"Winston County","05000US01133",106.2
2017,"Beltrami County","05000US27007",106.0
2017,"Rice County","05000US20159",105.8
2015,"Catahoula Parish","05000US22025",105.6
2016,"Nelson County","05000US51125",105.6
2016,"Mifflin County","05000US42087",105.5
2016,"St. Louis city, MO","05000US29510",105.4
2017,"Mingo County","05000US54059",105.4
2016,"Caroline County","05000US24011",105.4
2017,"Richland Parish","05000US22083",105.4
2016,"Adair County","05000US40001",105.3
2015,"Coahoma County","05000US28027",105.2
2017,"Forrest County","05000US28035",105.2
2017,"Fannin County","05000US13111",105.1
2017,"Marshall County","05000US28093",105.0
2016,"Nemaha County","05000US20131",105.0
2015,"Ottawa County","05000US40115",104.9
2017,"Bibb County","05000US01007",104.8
2016,"Orangeburg County","05000US45075",104.6
2017,"Prince Edward County","05000US51147",104.6
2017,"Norfolk city, VA","05000US51710",104.4
2015,"Polk County","05000US48373",104.4
2017,"Arkansas County","05000US05001",104.3
2017,"Yalobusha County","05000US28161",104.3
2016,"Portsmouth city","05000US51740",104.3
2015,"Charlton County","05000US13049",104.3
2015,"Bertie County","05000US37015",104.2
2017,"Montgomery County","05000US28097",104.1
2016,"Essex County","05000US51057",104.1
2017,"Haywood County","05000US47075",104.0
2015,"Saluda County","05000US45081",103.9
2015,"Henry County","05000US47079",103.8
2016,"Marion County","05000US05089",103.8
2015,"Fulton County","05000US42057",103.8
2016,"Henry County","05000US01067",103.7
2017,"Robeson County, NC","05000US37155",103.7
2015,"Geary County","05000US20061",103.6
2015,"Adair County","05000US40001",103.6
2017,"Texas County","05000US40139",103.5
2016,"Unicoi County","05000US47171",103.5
2016,"Adams County","05000US28001",103.3
2016,"Jefferson County","05000US13163",103.3
2017,"Grainger County","05000US47057",103.3
2017,"Early County","05000US13099",103.2
2015,"Las Animas County","05000US08071",103.1
2017,"Fulton County","05000US42057",103.1
2017,"Breathitt County","05000US21025",102.9
2015,"Johnston County","05000US40069",102.8
2015,"Cook County","05000US13075",102.8
2017,"Pike County","05000US39131",102.7
2016,"Crittenden County","05000US05035",102.7
2016,"Mississippi County","05000US05093",102.7
2017,"Knox County","05000US21121",102.7
2017,"East Baton Rouge Parish, LA","05000US22033",102.7
2015,"Moniteau County","05000US29135",102.6
2017,"Scott County","05000US28123",102.6
2016,"Dougherty County","05000US13095",102.6
2017,"Washington County","05000US28151",102.6
2017,"Roberts County","05000US46109",102.6
2015,"Pike County","05000US39131",102.5
2016,"Hopewell city","05000US51670",102.5
2017,"Beadle County","05000US46005",102.4
2015,"Essex County","05000US51057",102.4
2016,"Richmond city, VA","05000US51760",102.2
2017,"Petersburg city","05000US51730",102.2
2016,"Marion County","05000US45067",102.2
2017,"Nome Census Area","05000US02180",102.0
