year,geo_name,geo,median_property_value,median_property_value_moe
2013,"District of Columbia, DC","05000US11001",445200.0,5553.0
2014,"Ventura County, CA","05000US06111",444800.0,2527.0
2014,"Bergen County, NJ","05000US34003",443500.0,2780.0
2014,"Loudoun County, VA","05000US51107",443100.0,4411.0
2013,"Ventura County, CA","05000US06111",442200.0,3164.0
2015,"Los Angeles County, CA","05000US06037",441900.0,1285.0
2015,"Bergen County, NJ","05000US34003",441100.0,2688.0
2013,"Richmond County, NY","05000US36085",441000.0,3042.0
2015,"Contra Costa County, CA","05000US06013",439900.0,4413.0
2014,"Richmond County, NY","05000US36085",439600.0,3382.0
2015,"Richmond County, NY","05000US36085",439500.0,3152.0
2014,"Napa County, CA","05000US06055",439000.0,8493.0
2013,"Loudoun County, VA","05000US51107",437700.0,6145.0
2015,"Sonoma County, CA","05000US06097",436400.0,4485.0
2014,"Eagle County","05000US08037",435600.0,22725.0
2013,"Rockland County, NY","05000US36087",435300.0,3593.0
2013,"Morris County, NJ","05000US34027",432400.0,3968.0
2013,"Fairfield County, CT","05000US09001",432100.0,3744.0
2015,"San Diego County, CA","05000US06073",429600.0,2036.0
2015,"Howard County, MD","05000US24027",429100.0,4518.0
2013,"Napa County, CA","05000US06055",428600.0,10044.0
2013,"Howard County, MD","05000US24027",428100.0,4035.0
2014,"Morris County, NJ","05000US34027",426700.0,3289.0
2013,"San Luis Obispo County, CA","05000US06079",426600.0,7344.0
2014,"Howard County, MD","05000US24027",426300.0,4853.0
2014,"San Luis Obispo County, CA","05000US06079",426200.0,6653.0
2014,"Los Angeles County, CA","05000US06037",425100.0,1379.0
2014,"Rockland County, NY","05000US36087",424400.0,3790.0
2015,"Morris County, NJ","05000US34027",423400.0,3556.0
2014,"Fairfield County, CT","05000US09001",422400.0,3717.0
2013,"Los Angeles County, CA","05000US06037",420200.0,1477.0
2015,"Eagle County","05000US08037",419400.0,23001.0
2015,"Rockland County, NY","05000US36087",419100.0,4649.0
2014,"Contra Costa County, CA","05000US06013",417400.0,4698.0
2015,"Fairfield County, CT","05000US09001",416000.0,3816.0
2015,"Middlesex County, MA","05000US25017",414600.0,2341.0
2014,"Sonoma County, CA","05000US06097",414500.0,4921.0
2014,"San Diego County, CA","05000US06073",412800.0,2320.0
2013,"Sonoma County, CA","05000US06097",407400.0,4973.0
2014,"Middlesex County, MA","05000US25017",404600.0,2565.0
2013,"Hunterdon County, NJ","05000US34019",404300.0,7527.0
2013,"Contra Costa County, CA","05000US06013",404000.0,6238.0
2013,"San Diego County, CA","05000US06073",402100.0,2178.0
2015,"Norfolk County, MA","05000US25021",399500.0,2872.0
