year,geo_name,geo,hiv_prevalence_rate
2016,"Ford County","05000US17053",None
2015,"Gallatin County","05000US17059",None
2015,"Hamilton County","05000US17065",None
2016,"Hamilton County","05000US17065",None
2017,"Hamilton County","05000US17065",None
2015,"Hancock County","05000US17067",None
2016,"Hancock County","05000US17067",None
2017,"Hancock County","05000US17067",None
2017,"Hardin County","05000US17069",None
2015,"Hardin County","05000US17069",None
2016,"Hardin County","05000US17069",None
2015,"Henderson County","05000US17071",None
2017,"Henderson County","05000US17071",None
2016,"Henderson County","05000US17071",None
2016,"Storey County","05000US32029",None
2017,"Storey County","05000US32029",None
2015,"Pershing County","05000US32027",None
2016,"Pershing County","05000US32027",None
2017,"Pershing County","05000US32027",None
2015,"Mineral County","05000US32021",None
2015,"Weston County","05000US56045",None
2017,"Mineral County","05000US32021",None
2016,"Mineral County","05000US32021",None
2015,"Lincoln County","05000US32017",None
2017,"Lincoln County","05000US32017",None
2016,"Lincoln County","05000US32017",None
2017,"Lander County","05000US32015",None
2017,"Glascock County","05000US13125",None
2016,"Glascock County","05000US13125",None
2016,"Lander County","05000US32015",None
2015,"Lander County","05000US32015",None
2015,"Humboldt County","05000US32013",None
2017,"Humboldt County","05000US32013",None
2016,"Eureka County","05000US32011",None
2017,"Eureka County","05000US32011",None
2015,"Eureka County","05000US32011",None
2016,"Esmeralda County","05000US32009",None
2017,"Esmeralda County","05000US32009",None
2015,"Esmeralda County","05000US32009",None
2017,"Wheeler County","05000US31183",None
2015,"Wheeler County","05000US31183",None
2016,"Wheeler County","05000US31183",None
2016,"Webster County","05000US31181",None
2015,"Webster County","05000US31181",None
2017,"Webster County","05000US31181",None
2015,"Wayne County","05000US31179",None
2016,"Wayne County","05000US31179",None
2017,"Wayne County","05000US31179",None
2015,"Washington County","05000US31177",None
2017,"Valley County","05000US31175",None
2015,"Valley County","05000US31175",None
2016,"Valley County","05000US31175",None
2015,"Thurston County","05000US31173",None
2017,"Thurston County","05000US31173",None
2016,"Thurston County","05000US31173",None
2015,"Thomas County","05000US31171",None
2016,"Thomas County","05000US31171",None
2017,"Thomas County","05000US31171",None
2017,"Thayer County","05000US31169",None
2015,"Thayer County","05000US31169",None
2015,"Grundy County","05000US19075",None
2016,"Thayer County","05000US31169",None
2017,"Stanton County","05000US31167",None
2016,"Stanton County","05000US31167",None
2015,"Stanton County","05000US31167",None
2016,"Sioux County","05000US31165",None
2017,"Sioux County","05000US31165",None
2015,"Sioux County","05000US31165",None
2017,"Sherman County","05000US31163",None
2016,"Sherman County","05000US31163",None
2015,"Sherman County","05000US31163",None
2017,"Sheridan County","05000US31161",None
2016,"Sheridan County","05000US31161",None
2015,"Sheridan County","05000US31161",None
2016,"Seward County","05000US31159",None
2017,"Seward County","05000US31159",None
2015,"Seward County","05000US31159",None
2016,"Adams County","05000US38001",None
2015,"Adams County","05000US38001",None
2017,"Adams County","05000US38001",None
2015,"Barnes County","05000US38003",None
2016,"Barnes County","05000US38003",None
2017,"Barnes County","05000US38003",None
2015,"Benson County","05000US38005",None
2017,"Benson County","05000US38005",None
