year,geo_name,geo,teen_births
2015,"Scott County","05000US28123",86.1
2016,"Harlan County","05000US21095",86.1
2017,"Ware County","05000US13299",86.1
2017,"Bennett County","05000US46007",86.0
2015,"Floyd County","05000US48153",85.9
2017,"Mahnomen County","05000US27087",85.8
2017,"Adams County","05000US53001",85.8
2016,"Washington County","05000US28151",85.8
2015,"Greensville County","05000US51081",85.6
2016,"Panola County","05000US28107",85.2
2017,"Choctaw County","05000US40023",85.2
2016,"Yazoo County","05000US28163",85.2
2017,"Pecos County","05000US48371",85.1
2017,"Phillips County","05000US05107",84.9
2015,"Mitchell County","05000US48335",84.9
2016,"Moore County","05000US48341",84.9
2017,"Galax city","05000US51640",84.9
2017,"Potter County, TX","05000US48375",84.7
2015,"Bullock County","05000US01011",84.6
2017,"Nolan County","05000US48353",84.6
2016,"Crisp County","05000US13081",84.6
2015,"Yalobusha County","05000US28161",84.6
2017,"Humphreys County","05000US28053",84.6
2015,"Russell County","05000US21207",84.5
2016,"Alexander County","05000US17003",84.4
2017,"Castro County","05000US48069",84.4
2017,"La Salle County","05000US48283",84.4
2015,"Decatur County","05000US13087",84.3
2015,"Tallahatchie County","05000US28135",84.2
2016,"Presidio County","05000US48377",84.1
2015,"Castro County","05000US48069",84.1
2015,"Howard County","05000US48227",84.1
2016,"Webb County, TX","05000US48479",84.1
2015,"McCreary County","05000US21147",84.0
2016,"Pecos County","05000US48371",84.0
2016,"Corson County","05000US46031",84.0
2015,"Woodward County","05000US40153",83.9
2015,"Colquitt County","05000US13071",83.9
2015,"Tattnall County","05000US13267",83.9
2017,"Pemiscot County","05000US29155",83.8
2015,"Pecos County","05000US48371",83.7
2015,"Dimmit County","05000US48127",83.7
2016,"Jeff Davis County","05000US13161",83.6
2015,"Mellette County","05000US46095",83.6
2016,"McCreary County","05000US21147",83.5
2016,"Turner County","05000US13287",83.5
2016,"Bullock County","05000US01011",83.5
2015,"Yoakum County","05000US48501",83.4
2017,"Seward County","05000US20175",83.4
2017,"McCreary County","05000US21147",83.4
2015,"Wayne County","05000US13305",83.4
2015,"Jim Wells County","05000US48249",83.3
2016,"Stanton County","05000US20187",83.3
2016,"Quitman County","05000US28119",83.3
2015,"Wheeler County","05000US13309",83.2
2015,"Duval County","05000US48131",83.2
2016,"Bacon County","05000US13005",83.2
2017,"Curry County","05000US35009",83.1
2016,"Crittenden County","05000US05035",83.1
2015,"Franklin Parish","05000US22041",83.0
2016,"Mitchell County","05000US48335",82.9
2015,"Garza County","05000US48169",82.9
2015,"Marion County","05000US28091",82.8
2017,"Harlan County","05000US21095",82.8
2015,"Neshoba County","05000US28099",82.7
2015,"Stanton County","05000US20187",82.7
2017,"Lea County","05000US35025",82.7
2016,"Chickasaw County","05000US28017",82.6
2016,"Floyd County","05000US48153",82.6
2017,"Taliaferro County","05000US13265",82.6
2016,"Ochiltree County","05000US48357",82.6
2015,"Jefferson County","05000US28063",82.5
2015,"Allendale County","05000US45005",82.5
2016,"Castro County","05000US48069",82.5
2015,"Greer County","05000US40055",82.5
2017,"Sharkey County","05000US28125",82.5
2017,"Presidio County","05000US48377",82.4
2017,"Moore County","05000US48341",82.4
2017,"Terrell County","05000US13273",82.3
2017,"Bethel Census Area","05000US02050",82.3
2015,"McCurtain County","05000US40089",82.2
2016,"Yoakum County","05000US48501",82.2
2016,"Woodward County","05000US40153",82.1
2015,"Culberson County","05000US48109",82.0
2015,"Hamilton County","05000US20075",82.0
2016,"Greensville County","05000US51081",82.0
2015,"Gonzales County","05000US48177",81.8
2015,"Titus County","05000US48449",81.8
2015,"Coffee County","05000US13069",81.8
2016,"George County","05000US28039",81.7
2015,"Madison Parish","05000US22065",81.7
2016,"East Carroll Parish","05000US22035",81.6
2017,"Hale County","05000US48189",81.6
2017,"Andrews County","05000US48003",81.6
2017,"Ben Hill County","05000US13017",81.5
2016,"Howard County","05000US48227",81.5
2016,"Val Verde County","05000US48465",81.5
2017,"Appling County","05000US13001",81.3
2016,"Ward County","05000US48475",81.3
2017,"Stewart County","05000US13259",81.2
2015,"Bethel Census Area","05000US02050",81.0
2015,"Toombs County","05000US13279",81.0
2015,"Mississippi County","05000US05093",81.0
2016,"Hardee County","05000US12049",81.0
2015,"Val Verde County","05000US48465",81.0
2017,"Mingo County","05000US54059",80.8
2015,"Holmes County","05000US28051",80.8
2016,"Sunflower County","05000US28133",80.8
2016,"Neshoba County","05000US28099",80.7
2015,"Tensas Parish","05000US22107",80.7
2015,"Presidio County","05000US48377",80.7
2016,"La Salle County","05000US48283",80.6
2017,"Washington County","05000US28151",80.6
2017,"Jeff Davis County","05000US13161",80.6
2016,"Allendale County","05000US45005",80.5
2016,"Bethel Census Area","05000US02050",80.5
2015,"Texas County","05000US40139",80.5
2016,"Tallahatchie County","05000US28135",80.4
2016,"Dimmit County","05000US48127",80.4
2015,"Sevier County","05000US05133",80.4
2017,"Evans County","05000US13109",80.4
2016,"McCurtain County","05000US40089",80.4
2015,"Karnes County","05000US48255",80.3
2016,"Culberson County","05000US48109",80.3
2017,"Clinch County","05000US13065",80.2
2015,"McCulloch County","05000US48307",80.1
2017,"Mitchell County","05000US48335",80.1
2016,"Scott County","05000US28123",80.1
2015,"Glacier County","05000US30035",80.1
2015,"Uvalde County","05000US48463",80.0
2016,"Jim Wells County","05000US48249",79.9
2015,"Poinsett County","05000US05111",79.9
2015,"Polk County","05000US13233",79.8
2015,"Ward County","05000US48475",79.8
2016,"Colquitt County","05000US13071",79.7
2015,"Hopewell city","05000US51670",79.7
2015,"Cibola County","05000US35006",79.6
2016,"Madison Parish","05000US22065",79.6
2015,"Dunklin County","05000US29069",79.6
2015,"Powell County","05000US21197",79.6
2015,"Mitchell County","05000US13205",79.5
2017,"Webb County, TX","05000US48479",79.4
2015,"La Salle County","05000US48283",79.4
2016,"Wayne County","05000US13305",79.4
2017,"Culberson County","05000US48109",79.3
2016,"Russell County","05000US21207",79.3
2015,"Coleman County","05000US48083",79.3
2016,"Uvalde County","05000US48463",79.2
2015,"Shelby County","05000US48419",79.2
2015,"Hidalgo County, TX","05000US48215",79.2
2017,"Cottle County","05000US48101",79.2
2015,"Christian County","05000US21047",79.1
2017,"Floyd County","05000US48153",79.1
2015,"Eddy County","05000US35015",79.0
2015,"Hempstead County","05000US05057",79.0
2015,"East Carroll Parish","05000US22035",78.9
2016,"Reagan County","05000US48383",78.9
2017,"Madison Parish","05000US22065",78.8
2015,"Gila County","05000US04007",78.8
2015,"Mountrail County","05000US38061",78.7
2015,"Grady County","05000US13131",78.7
2017,"Yazoo County","05000US28163",78.7
2015,"Bath County","05000US21011",78.6
2016,"Decatur County","05000US13087",78.6
2017,"Lyman County","05000US46085",78.6
2015,"Hamilton County","05000US12047",78.6
2017,"Panola County","05000US28107",78.6
2017,"Greensville County","05000US51081",78.6
2016,"Glacier County","05000US30035",78.5
2017,"Howard County","05000US48227",78.4
2016,"Powell County","05000US21197",78.4
2016,"Hamilton County","05000US20075",78.4
2017,"Woodward County","05000US40153",78.3
2017,"Val Verde County","05000US48465",78.2
2015,"Scott County","05000US05127",78.2
2017,"East Carroll Parish","05000US22035",78.2
2017,"Crittenden County","05000US05035",78.1
2015,"Carroll County","05000US21041",78.1
2015,"Yell County","05000US05149",78.1
2016,"Franklin Parish","05000US22041",78.1
2016,"Toombs County","05000US13279",78.0
2017,"Ward County","05000US48475",78.0
2015,"Finney County","05000US20055",77.9
2015,"Wayne County","05000US28153",77.9
2016,"Bath County","05000US21011",77.9
2017,"Bullock County","05000US01011",77.8
2015,"Franklin County","05000US12037",77.8
2015,"Leflore County","05000US28083",77.7
2015,"Chattooga County","05000US13055",77.7
2015,"Bolivar County","05000US28011",77.7
2016,"Bennett County","05000US46007",77.7
2016,"Coffee County","05000US13069",77.6
2015,"Knox County","05000US21121",77.6
2016,"Eddy County","05000US35015",77.6
2015,"Simpson County","05000US28127",77.5
2015,"Camp County","05000US48063",77.5
2017,"Crisp County","05000US13081",77.4
2017,"Harmon County","05000US40057",77.4
2016,"Wheeler County","05000US13309",77.4
2016,"Garza County","05000US48169",77.4
2017,"Powell County","05000US21197",77.4
2017,"Mellette County","05000US46095",77.4
2017,"Dimmit County","05000US48127",77.3
2016,"Marion County","05000US28091",77.3
2016,"Tattnall County","05000US13267",77.3
2016,"Gila County","05000US04007",77.2
2015,"Gray County","05000US48179",77.2
2017,"Dickens County","05000US48125",77.2
2016,"Greer County","05000US40055",77.1
2017,"Greer County","05000US40055",77.1
2015,"Woodruff County","05000US05147",77.1
2015,"Wyandotte County, KS","05000US20209",76.9
2016,"Gonzales County","05000US48177",76.9
2017,"Jim Wells County","05000US48249",76.9
2017,"Hardee County","05000US12049",76.9
2017,"Ochiltree County","05000US48357",76.9
2016,"Mingo County","05000US54059",76.8
2015,"Dillon County","05000US45033",76.7
2016,"Coleman County","05000US48083",76.7
2017,"Quitman County","05000US28119",76.6
2017,"Tallahatchie County","05000US28135",76.6
2016,"Duval County","05000US48131",76.5
2017,"Wolfe County","05000US21237",76.5
2016,"Mississippi County","05000US05093",76.5
2016,"Mitchell County","05000US13205",76.5
2015,"Cameron County, TX","05000US48061",76.4
2015,"Cochran County","05000US48079",76.4
2016,"Cibola County","05000US35006",76.4
2015,"Maverick County","05000US48323",76.4
2017,"Glacier County","05000US30035",76.4
2017,"Edwards County","05000US48137",76.3
2015,"Bennett County","05000US46007",76.3
2016,"Martin County","05000US48317",76.2
2015,"Marshall County","05000US40095",76.2
2016,"Sevier County","05000US05133",76.2
2016,"Wilkinson County","05000US28157",76.2
2016,"Desha County","05000US05041",76.1
2016,"Texas County","05000US40139",76.1
2016,"Hempstead County","05000US05057",76.1
2017,"McCurtain County","05000US40089",76.1
2016,"Hopewell city","05000US51670",76.1
2016,"Gray County","05000US48179",76.0
2015,"Ouachita County","05000US05103",75.9
2015,"Palo Pinto County","05000US48363",75.9
2015,"Richmond County","05000US37153",75.9
2017,"Coleman County","05000US48083",75.8
2016,"Wolfe County","05000US21237",75.8
2015,"Coal County","05000US40029",75.8
2017,"Allendale County","05000US45005",75.8
2017,"Duval County","05000US48131",75.8
2015,"Collingsworth County","05000US48087",75.7
2015,"Edwards County","05000US48137",75.7
2016,"Camp County","05000US48063",75.7
2016,"Scott County","05000US05127",75.7
2015,"Noxubee County","05000US28103",75.7
2016,"Karnes County","05000US48255",75.7
2017,"Martin County","05000US48317",75.7
2016,"Mountrail County","05000US38061",75.6
2016,"Maverick County","05000US48323",75.6
2015,"Wilkinson County","05000US28157",75.6
2016,"Hidalgo County, TX","05000US48215",75.6
2015,"Leake County","05000US28079",75.5
2017,"Toombs County","05000US13279",75.5
2016,"Dunklin County","05000US29069",75.5
2017,"Russell County","05000US21207",75.5
2016,"Carroll County","05000US21041",75.4
2016,"Shelby County","05000US48419",75.4
2015,"Wolfe County","05000US21237",75.3
2015,"Victoria County","05000US48469",75.3
2015,"Jones County","05000US28067",75.2
2017,"Scott County","05000US28123",75.2
2015,"Caldwell Parish","05000US22021",75.2
2017,"Dunklin County","05000US29069",75.1
2016,"Tensas Parish","05000US22107",75.1
2015,"Geary County","05000US20061",75.1
2017,"Alexander County","05000US17003",75.1
2016,"Poinsett County","05000US05111",75.0
2017,"Uvalde County","05000US48463",75.0
2016,"Fulton County","05000US21075",74.9
2015,"Calhoun County","05000US13037",74.9
2016,"Jackson County","05000US05067",74.9
2015,"Red River Parish","05000US22081",74.9
2017,"Gray County","05000US48179",74.9
2017,"Gonzales County","05000US48177",74.8
2015,"Polk County","05000US48373",74.8
2017,"Mountrail County","05000US38061",74.7
2015,"Ford County","05000US20057",74.7
2017,"Turner County","05000US13287",74.7
2015,"Jackson County","05000US05067",74.7
2015,"Fulton County","05000US21075",74.7
2015,"Blaine County","05000US30005",74.5
2016,"Caldwell Parish","05000US22021",74.5
2016,"Dillon County","05000US45033",74.4
2015,"Concordia Parish","05000US22029",74.4
2017,"Hudspeth County","05000US48229",74.4
2017,"Chickasaw County","05000US28017",74.4
2017,"George County","05000US28039",74.4
2016,"Titus County","05000US48449",74.4
2015,"Navarro County","05000US48349",74.4
2015,"Willacy County","05000US48489",74.4
2015,"Morehouse Parish","05000US22067",74.3
2016,"Lyman County","05000US46085",74.3
2017,"Bath County","05000US21011",74.2
2017,"Eddy County","05000US35015",74.2
2016,"Franklin County","05000US12037",74.2
2016,"Geary County","05000US20061",74.2
2017,"Maverick County","05000US48323",74.1
2016,"Yell County","05000US05149",74.1
2017,"Caldwell Parish","05000US22021",74.1
2016,"Wayne County","05000US21231",74.1
2015,"Emanuel County","05000US13107",74.0
2015,"Hendry County","05000US12051",74.0
2015,"Wayne County","05000US21231",74.0
2015,"Berrien County","05000US13019",74.0
2016,"Bell County","05000US21013",73.9
2015,"Seminole County","05000US13253",73.9
2015,"Jefferson County","05000US13163",73.9
2017,"Gila County","05000US04007",73.8
2017,"Yoakum County","05000US48501",73.8
2016,"Polk County","05000US13233",73.8
2015,"Miller County","05000US05091",73.8
2015,"Lyman County","05000US46085",73.8
2015,"Calhoun County","05000US48057",73.7
2015,"Covington County","05000US28031",73.7
2015,"Martin County","05000US48317",73.7
2015,"Bee County","05000US48025",73.7
2016,"Hamilton County","05000US12047",73.7
2017,"Bacon County","05000US13005",73.6
2017,"Mississippi County","05000US05093",73.6
2015,"Roanoke city, VA","05000US51770",73.6
2016,"Christian County","05000US21047",73.6
2016,"Macon County","05000US47111",73.6
2017,"Franklin Parish","05000US22041",73.5
2015,"Pike County","05000US28113",73.5
2017,"Ripley County","05000US29181",73.5
2015,"Chicot County","05000US05017",73.5
2017,"Hempstead County","05000US05057",73.5
2015,"Jackson County","05000US40065",73.4
2016,"Finney County","05000US20055",73.4
2015,"Gregg County, TX","05000US48183",73.4
2015,"Candler County","05000US13043",73.3
2015,"Murray County","05000US40099",73.3
2016,"Grant County","05000US20067",73.3
2016,"Bolivar County","05000US28011",73.3
2016,"McCulloch County","05000US48307",73.2
2016,"Emanuel County","05000US13107",73.2
2017,"Jackson County","05000US05067",73.2
2017,"Wayne County","05000US13305",73.1
2015,"Roger Mills County","05000US40129",73.1
2016,"Cameron County, TX","05000US48061",73.1
2016,"Simpson County","05000US28127",73.1
2016,"Leflore County","05000US28083",73.1
2017,"Sevier County","05000US05133",73.1
2015,"Cook County","05000US13075",73.1
2015,"Cherokee County","05000US48073",73.0
2015,"Jefferson Davis County","05000US28065",73.0
2016,"Wyandotte County, KS","05000US20209",73.0
2016,"Knox County","05000US21121",73.0
2017,"Geary County","05000US20061",72.9
2016,"Seminole County","05000US13253",72.9
2015,"Barbour County","05000US01005",72.9
2015,"Bell County","05000US21013",72.9
2015,"Quitman County","05000US13239",72.8
2015,"Kay County","05000US40071",72.8
2015,"Avoyelles Parish","05000US22009",72.8
2016,"Floyd County","05000US21071",72.8
2016,"Grady County","05000US13131",72.8
2017,"Neshoba County","05000US28099",72.8
2017,"Hopewell city","05000US51670",72.8
2016,"Avoyelles Parish","05000US22009",72.7
2016,"Chattooga County","05000US13055",72.7
2015,"Macon County","05000US47111",72.7
2016,"Wayne County","05000US28153",72.6
2015,"Grant County","05000US20067",72.6
2017,"Scott County","05000US05127",72.5
2015,"Carter County","05000US40019",72.5
2015,"Elliott County","05000US21063",72.5
2015,"Butler County","05000US29023",72.5
2015,"Marion County","05000US45067",72.5
2015,"Taliaferro County","05000US13265",72.5
2016,"Holmes County","05000US28051",72.5
2015,"Floyd County","05000US21071",72.4
2015,"Bradley County","05000US05011",72.4
2017,"Decatur County","05000US13087",72.4
2017,"Concordia Parish","05000US22029",72.3
2016,"Polk County","05000US48373",72.3
2015,"Issaquena County","05000US28055",72.3
2016,"Bee County","05000US48025",72.3
2016,"Edwards County","05000US48137",72.3
2017,"Franklin County","05000US12037",72.3
2015,"Charles Mix County","05000US46023",72.3
2016,"Caddo County","05000US40015",72.3
2017,"Fulton County","05000US21075",72.3
2017,"Macon County","05000US47111",72.3
2015,"Sullivan County","05000US29211",72.2
2016,"Cherokee County","05000US48073",72.1
2016,"Morehouse Parish","05000US22067",72.1
2016,"Chicot County","05000US05017",72.1
2015,"Chaves County","05000US35005",72.0
2016,"Ouachita County","05000US05103",72.0
2016,"Navarro County","05000US48349",72.0
2016,"Carter County","05000US40019",72.0
2017,"Wilkinson County","05000US28157",72.0
2015,"Franklin County","05000US53021",71.9
2015,"Adair County","05000US40001",71.9
2015,"Mingo County","05000US54059",71.8
2016,"Jefferson County","05000US13163",71.8
2015,"Okeechobee County","05000US12093",71.8
2016,"Ripley County","05000US29181",71.8
2015,"Tillman County","05000US40141",71.8
2016,"Taliaferro County","05000US13265",71.8
2017,"Hidalgo County, TX","05000US48215",71.8
2015,"Magoffin County","05000US21153",71.8
2017,"Hamilton County","05000US20075",71.8
2017,"Floyd County","05000US21071",71.7
2017,"Corson County","05000US46031",71.7
2017,"Desha County","05000US05041",71.7
2015,"Dallas County","05000US01047",71.7
2015,"Early County","05000US13099",71.7
2016,"Ford County","05000US20057",71.7
2015,"Dougherty County","05000US13095",71.7
2016,"Kay County","05000US40071",71.7
2016,"Leake County","05000US28079",71.6
2015,"St. Landry Parish","05000US22097",71.6
2015,"Lee County","05000US05077",71.6
2017,"Marion County","05000US28091",71.6
2016,"Perry County","05000US21193",71.6
2015,"Scotland County","05000US37165",71.6
2016,"Palo Pinto County","05000US48363",71.6
2015,"Vance County","05000US37181",71.5
2017,"Cibola County","05000US35006",71.5
2016,"Noxubee County","05000US28103",71.5
2016,"Willacy County","05000US48489",71.5
2015,"Rio Arriba County","05000US35039",71.5
2015,"Comanche County","05000US48093",71.4
2016,"Yalobusha County","05000US28161",71.4
2016,"Woodruff County","05000US05147",71.4
2016,"Quitman County","05000US13239",71.4
2016,"La Paz County","05000US04012",71.3
2016,"Hudspeth County","05000US48229",71.3
2017,"Magoffin County","05000US21153",71.3
2017,"Colquitt County","05000US13071",71.2
2015,"Charlton County","05000US13049",71.2
2015,"Haskell County","05000US40061",71.2
2015,"Caddo County","05000US40015",71.2
2016,"Blaine County","05000US40011",71.2
2015,"Hockley County","05000US48219",71.2
2015,"San Augustine County","05000US48405",71.1
2017,"Hemphill County","05000US48211",71.1
2017,"Bell County","05000US21013",71.0
2016,"Jackson County","05000US40065",71.0
2016,"Hall County","05000US48191",71.0
2016,"Concordia Parish","05000US22029",71.0
2016,"Miller County","05000US05091",71.0
2016,"Roberts County","05000US46109",71.0
2015,"Pushmataha County","05000US40127",71.0
2015,"Alcorn County","05000US28003",70.9
2016,"Roanoke city, VA","05000US51770",70.9
2015,"Spalding County","05000US13255",70.9
2017,"Texas County","05000US40139",70.9
2015,"Mason County","05000US21161",70.9
2015,"La Paz County","05000US04012",70.9
2016,"Gregg County, TX","05000US48183",70.9
2015,"Perry County","05000US21193",70.9
2017,"Coffee County","05000US13069",70.9
2017,"Perry County","05000US21193",70.8
2016,"Jones County","05000US28067",70.8
2016,"Victoria County","05000US48469",70.8
2015,"Okmulgee County","05000US40111",70.8
2015,"Attala County","05000US28007",70.8
2015,"Bent County","05000US08011",70.7
2015,"San Patricio County","05000US48409",70.7
2017,"Leake County","05000US28079",70.7
2017,"Carroll County","05000US21041",70.7
2017,"Carter County","05000US40019",70.7
2015,"Robeson County, NC","05000US37155",70.7
2017,"Finney County","05000US20055",70.7
2015,"Pittsburg County","05000US40121",70.6
2017,"Wayne County","05000US21231",70.6
2015,"Sutton County","05000US48435",70.5
2015,"Roberts County","05000US46109",70.5
2016,"Calhoun County","05000US48057",70.5
